code,name,level,parent_name,similar_words,num_synonyms
10211900,Amaryllis vivo,CLASS,Anturios vivos y relacionados (Grupo 1021),"amarilis vivo, flor amarilis, bulbo amarilis, amarilis planta, flor ornamental",5
10212000,Anémona viva,CLASS,Anturios vivos y relacionados (Grupo 1021),"anemona viva, flor anemona, anemona planta, flor fresca viva, anemona ornamental",5
10212100,Asclepia viva,CLASS,Anturios vivos y relacionados (Grupo 1021),"asclepia viva, flor asclepia, asclepia planta, flor viva ornamental, asclepia fresca",5
10212200,Aster viva,CLASS,Anturios vivos y relacionados (Grupo 1021),"aster vivo, flor aster, aster planta, aster ornamental, flor viva aster",5
10312000,Anémona cortada fresca,CLASS,Iris cortada fresca y relacionados (Grupo 1031),"anemona cortada, anemona fresca, flor anemona corte, ramo anemona, anemona para florero",5
10411900,Amaryllis cortado seco,CLASS,Pata de canguro cortada seca y relacionados (Grupo 1041),"amarilis seco, amarilis deshidratado, flor amarilis seca, amarilis para arreglo, amarilis preservado",5
10412000,Anémona cortada seca,CLASS,Pata de canguro cortada seca y relacionados (Grupo 1041),"anemona seca, anemona deshidratada, flor anemona seca, anemona preservada, arreglo anemona",5
10412900,Narciso cortado seco,CLASS,Pata de canguro cortada seca y relacionados (Grupo 1041),"narciso seco, narciso deshidratado, flor narciso seca, narciso preservado, narciso para arreglo",5
10413600,Fresia cortada seca,CLASS,Pata de canguro cortada seca y relacionados (Grupo 1041),"fresia seca, fresia deshidratada, flor fresia seca, fresia preservada, arreglo fresia",5
10414900,Iris cortada seca,CLASS,Pata de canguro cortada seca y relacionados (Grupo 1041),"iris seco, iris deshidratado, flor iris seca, iris preservado, iris para arreglo",5
10415106,Delfinio cortada seca blanca,PRODUCT,Delfinio cortado seco,"delfinio blanco seco, espuela caballero blanca, flor delfinio blanca seca, delfinio preservado blanco",4
10421500,Agapanto cortado seco,CLASS,Agapanto cortado seco y relacionados (Grupo 1042),"agapanto seco, agapanto deshidratado, flor agapanto seca, agapanto preservado, lirio azul seco",5
10421600,Alchimilla cortada seca,CLASS,Agapanto cortado seco y relacionados (Grupo 1042),"alchimilla seca, alquimila deshidratada, flor alchimilla seca, alchimilla preservada, reina del bosque seca",5
10421700,Astilbe cortado seco,CLASS,Agapanto cortado seco y relacionados (Grupo 1042),"astilbe seco, astilbe deshidratado, flor astilbe seca, astilbe preservado, arreglo astilbe",5
10425000,Caléndula cortada seca,CLASS,Agapanto cortado seco y relacionados (Grupo 1042),"caléndula seca, caléndula deshidratada, flor caléndula seca, caléndula preservada, maravilla seca",5
10441600,Clavel cortado seco mini o spray,CLASS,Clavel cortado seco de floración sencilla y relacionados (Grupo 1044),"clavel mini seco, clavel spray seco, clavel pequeño deshidratado, clavel miniatura preservado, clavel seco spray",5
10502900,Hojas frescas cortadas de especies sencillas,CLASS,Aspidistras cortadas frescas y relacionados (Grupo 1050),"hojas cortadas frescas, follaje fresco, hojas verdes corte, material verde decorativo, hojas para ramo",5
11101600,Minerales metálicos,CLASS,Minerales metálicos y relacionados (Grupo 1110),"mineral metálico, mena, mineral de metal, yacimiento metalífero, mineral industrial",5
11111500,Barro y Tierra,CLASS,Barro y Tierra y relacionados (Grupo 1111),"barro, tierra, arcilla, tierra de cultivo, barro para construcción, material terroso",6
11111600,Piedra,CLASS,Barro y Tierra y relacionados (Grupo 1111),"piedra, roca, grava, piedra natural, material pétreo, cantera",6
11121500,Savia,CLASS,Savia y relacionados (Grupo 1112),"savia, resina, latex, goma natural, savia de árbol, resina vegetal",6
11121600,Madera,CLASS,Savia y relacionados (Grupo 1112),"madera, tabla, tablón, madera aserrada, tronco, leña, madera en rollo",7
11121700,Productos secundarios de la explotación forestal,CLASS,Savia y relacionados (Grupo 1112),"residuo forestal, desperdicio madera, aserrín, corteza, ramas, material forestal secundario",6
11121800,Fibras de plantas,CLASS,Savia y relacionados (Grupo 1112),"fibra vegetal, fibra natural, henequén, sisal, fibra de palma, material fibroso",6
11131500,"Cuero, pieles o materiales textiles de animales",CLASS,Cuero y relacionados (Grupo 1113),"cuero, piel, cuero curtido, material textil animal, piel de animal, cuero para calzado",6
11131600,Otros productos de animales,CLASS,Cuero y relacionados (Grupo 1113),"producto animal, hueso, astas, lana, pelo, crin, producto secundario animal",7
11141700,Desperdicios o restos de alimentos y tabaco,CLASS,Desechos no metálicos y chatarra y relacionados (Grupo 1114),"residuos de comida, sobras de alimentos, desperdicios tabaco, restos de cocina, desechos alimentarios, basura organica, residuos organicos",7
11161500,Tejidos de seda,CLASS,Tejidos de seda y relacionados (Grupo 1116),"tela de seda, seda pura, tejido sedoso, seda natural, tela fina seda, seda importada, material seda",7
11161600,Tejidos de lana,CLASS,Tejidos de seda y relacionados (Grupo 1116),"tela de lana, lana pura, tejido lanilla, lana natural, tela gruesa lana, lana cardada, material lana",7
11161700,Tejidos de algodón,CLASS,Tejidos de seda y relacionados (Grupo 1116),"tela de algodon, algodon puro, tejido algodonero, algodon natural, manta algodon, lienzo algodon, tela blanca",7
11161800,Tejidos sintéticos,CLASS,Tejidos de seda y relacionados (Grupo 1116),"tela sintetica, poliester, nylon, acrilico, tejido artificial, tela plastica, fibra sintetica",7
11162300,Cueros,CLASS,Tejidos de seda y relacionados (Grupo 1116),"cuero natural, piel curtida, cuero bovino, cuero procesado, material cuero, cuero para tapiz, cuero industrial",7
11162400,Guata,CLASS,Tejidos de seda y relacionados (Grupo 1116),"guata acolchonada, relleno guata, guata sintetica, material acolchonante, guata para colchon, relleno textil, fibra acolchonada",7
11171500,Aceros básicos,CLASS,Aceros básicos y relacionados (Grupo 1117),"acero comun, acero al carbono, acero basico, acero laminado, acero en barras, acero industrial, hierro acero",7
11171600,Aleaciones de acero inoxidable,CLASS,Aceros básicos y relacionados (Grupo 1117),"acero inoxidable, acero quirurgico, acero cromado, acero resistente, acero 304, acero 316, acero sanitario",7
11172100,Superaleaciones de cobalto,CLASS,Aceros básicos y relacionados (Grupo 1117),"aleacion cobalto, superaleacion, cobalto puro, material refractario, aleacion alta temperatura, cobalto industrial, metal cobalto",7
11172200,Aleaciones con base de magnesio,CLASS,Aceros básicos y relacionados (Grupo 1117),"aleacion magnesio, magnesio puro, material ligero, aleacion magnesiana, magnesio industrial, metal magnesio, aleacion aluminio-magnesio",7
11172300,Aleaciones con base de manganeso,CLASS,Aceros básicos y relacionados (Grupo 1117),"aleacion manganeso, manganeso puro, acero manganeso, material manganesio, manganeso industrial, metal manganeso, aleacion ferromanganese",7
11180000,Óxidos metálicos no férreos y relacionados (Grupo 1118),GROUP,Material Mineral y Tejidos No Comestibles (División 11),"oxidos metalicos, oxidos no ferrosos, oxidos minerales, polvos metalicos, oxidos industriales, compuestos metalicos, oxidos quimicos",7
11181500,Óxidos metálicos no férreos,CLASS,Óxidos metálicos no férreos y relacionados (Grupo 1118),"oxido de cobre, oxido de zinc, oxido de aluminio, oxido metalico puro, polvos de oxido, oxido industrial, oxido no ferroso",7
11191700,Virutas,CLASS,Cuerpos sólidos de metal y relacionados (Grupo 1119),"virutas de metal, virutas de acero, chatarra fina, limaduras metal, residuos metalicos, virutas de aluminio, virutas industriales",7
11191800,Subproductos del metal,CLASS,Cuerpos sólidos de metal y relacionados (Grupo 1119),"subproductos metal, residuos metalicos, escoria metal, dross, chatarra procesada, residuos industriales, material metalico reciclable",7
12141600,Metales de tierra rara,CLASS,Metales de tierra y relacionados (Grupo 1214),"tierras raras, lantanidos, elementos raros, metales raros, tierras raras puras, oxidos de tierras raras, material estrategico",7
12142200,Isótopos,CLASS,Metales de tierra y relacionados (Grupo 1214),"isotopos radiactivos, material radiactivo, isotopos puros, elementos radiactivos, isotopos industriales, material nuclear, compuestos radiactivos",7
12170000,Tintes y relacionados (Grupo 1217),GROUP,Productos Químicos y Plásticos (División 12),"colorantes, pinturas, tinturas, pigmentos industriales, colorantes quimicos, productos de color, tintes y pigmentos",7
12171500,Tintes,CLASS,Tintes y relacionados (Grupo 1217),"tinte puro, colorante sintetico, tinte industrial, tinte textil, tinte para ropa, tinte quimico, tinte concentrado",7
12171600,Pigmentos,CLASS,Tintes y relacionados (Grupo 1217),"pigmento puro, pigmento sintetico, pigmento mineral, pigmento para pintura, colorante en polvo, pigmento industrial, oxido colorante",7
12180000,Ceras y relacionados (Grupo 1218),GROUP,Productos Químicos y Plásticos (División 12),"ceras y aceites, productos cerosos, lubricantes naturales, ceras industriales, aceites minerales, productos de cera, lubricantes",7
12181500,Ceras,CLASS,Ceras y relacionados (Grupo 1218),"cera pura, cera natural, cera sintetica, cera para pulir, cera industrial, cera de abeja, parafina",7
12181600,Aceites,CLASS,Ceras y relacionados (Grupo 1218),"aceite mineral, aceite industrial, aceite lubricante, aceite de maquina, aceite hidraulico, aceite sintetico, aceite puro",7
12190000,Solventes hidrocarbonatos y relacionados (Grupo 1219),GROUP,Productos Químicos y Plásticos (División 12),"solventes, disolventes, limpiadores quimicos, productos desengrasantes, solventes organicos, solventes industriales, productos de limpieza",7
12191500,Solventes hidrocarbonatos,CLASS,Solventes hidrocarbonatos y relacionados (Grupo 1219),"solvente hidrocarbonado, gasolina industrial, disolvente organico, thinner, solvente para pintura, solvente puro, producto desengrasante",7
12352400,Mezclas,CLASS,Compuestos aromáticos y alifáticos y relacionados (Grupo 1235),"mezcla quimica, compuesto mixto, mezcla industrial, mezcla de solventes, preparado quimico, mezcla formulada, producto combinado",7
12352500,Fijadores,CLASS,Compuestos aromáticos y alifáticos y relacionados (Grupo 1235),"fijador quimico, estabilizador, agente fijador, fijador industrial, producto estabilizante, fijador para tinte, agente conservante",7
12352600,Compuestos fluorados,CLASS,Compuestos aromáticos y alifáticos y relacionados (Grupo 1235),"compuesto fluorado, fluor quimico, fluoruro puro, producto fluorado, compuesto con fluor, material fluorado, quimico fluorado",7
13101900,Plásticos termoformados,CLASS,Caucho natural y relacionados (Grupo 1310),"plastico termoformado, plastico moldeado, plastico flexible, plastico industrial, articulo plastico, producto termoformable, plastico procesado",7
13102000,Plásticos termoplásticos,CLASS,Caucho natural y relacionados (Grupo 1310),"plastico termoplastico, polimero termico, material plastico industrial, resina plastica, polipropileno, polietileno, PVC rigido",7
13110000,Resinas y relacionados (Grupo 1311),GROUP,"Resina, Hule y Elastómeros (División 13)","resinas industriales, resina sintetica, material base resina, resina epoxi, resina poliester, materia prima resina",6
13111000,Resinas,CLASS,Resinas y relacionados (Grupo 1311),"resina pura, resina virgen, resina industrial, resina epoxi, resina poliester, resina fenolica",6
14111700,Productos de papel para uso personal,CLASS,Papel de imprenta y papel de escribir y relacionados (Grupo 1411),"papel personal, papel higienico, papel toalla, servilleta, panuelo desechable, papel facial",6
14111800,Papeles de uso comercial,CLASS,Papel de imprenta y papel de escribir y relacionados (Grupo 1411),"papel comercial, papel de oficio, papel bond, papel blanco, papel impresora, papel escritura",6
14121500,Cartón y papel para embalaje,CLASS,Cartón y papel para embalaje y relacionados (Grupo 1412),"carton embalaje, carton corrugado, papel empaque, caja carton, material embalaje, carton ondulado",6
14121800,Papeles recubiertos,CLASS,Cartón y papel para embalaje y relacionados (Grupo 1412),"papel recubierto, papel couche, papel plastificado, papel satinado, papel brillante, papel revestido",6
14121900,Papel prensa y de offset,CLASS,Cartón y papel para embalaje y relacionados (Grupo 1412),"papel prensa, papel offset, papel periodico, papel impresion, papel rotativa, papel diario",6
14122100,Papeles de base sin recubrir,CLASS,Cartón y papel para embalaje y relacionados (Grupo 1412),"papel base sin recubrir, papel kraft, papel natural, papel virgen, papel industrial base",5
14122200,Papeles especializados de uso industrial,CLASS,Cartón y papel para embalaje y relacionados (Grupo 1412),"papel industrial especializado, papel tecnico, papel filtrante, papel absorbente, papel especial industrial",5
15101600,Combustibles sólidos o gelificados,CLASS,Petróleo y Destilados y relacionados (Grupo 1510),"combustible solido, carbon, lena, briqueta, combustible gelificado, material combustible solido",6
15101700,Aceites combustibles,CLASS,Petróleo y Destilados y relacionados (Grupo 1510),"aceite combustible, diesel, fuel oil, aceite industrial, combustible liquido pesado",5
15101800,Combustibles o biocombustibles líquidos basados en plantas,CLASS,Petróleo y Destilados y relacionados (Grupo 1510),"biocombustible, biodiesel, bioetanol, combustible vegetal, combustible de plantas, etanol",6
15110000,Combustibles gaseosos y relacionados (Grupo 1511),GROUP,Materiales Combustibles y Lubricantes (División 15),"gas combustible, gas natural, gas LP, propano, butano, combustible gaseoso",6
15111500,Combustibles gaseosos,CLASS,Combustibles gaseosos y relacionados (Grupo 1511),"gas LP, gas natural, propano, butano, gas combustible industrial, cilindro gas",6
15121800,Anticorrosivos,CLASS,Preparados lubricantes y relacionados (Grupo 1512),"anticorrosivo, inhibidor corrosion, protector metal, recubrimiento anticorrosivo, pintura anticorrosiva",5
15121900,Grasas,CLASS,Preparados lubricantes y relacionados (Grupo 1512),"grasa industrial, lubricante grasa, grasa para rodamientos, grasa multipropósito, grasa mecanica",5
