code,name,level,parent_name,similar_words,num_synonyms
01000000,"Mascotas, Animales Domésticos y Accesorios (División 01)",DIVISION,,"mascotas, animales domésticos, accesorios para mascotas, tienda de mascotas, pet shop, artículos para animales",6
01010000,[SINTÉTICO] CLASS - 01010100 y relacionados (Grupo 0101),GROUP,"Mascotas, Animales Domésticos y Accesorios (División 01)","mascotas y accesorios, productos para mascotas, equipamiento animal, suministros para mascotas, tienda de animales",5
01010100,[SINTÉTICO] CLASS - 01010100,CLASS,[SINTÉTICO] CLASS - 01010100 y relacionados (Grupo 0101),"mascotas domésticas, animales de compañía, accesorios de mascotas, productos animales, equipos para mascotas",5
10000000,Material Vivo Animal y Vegetal (División 10),DIVISION,,"material vivo, animales vivos, plantas vivas, material biológico, organismos vivos, recursos naturales vivos",6
10100000,Animales vivos de granja y relacionados (Grupo 1010),GROUP,Material Vivo Animal y Vegetal (División 10),"animales de granja, ganadería, animales de corral, crianza de animales, ganado vivo, animales de producción",6
10101500,Animales vivos de granja,CLASS,Animales vivos de granja y relacionados (Grupo 1010),"animales de corral, ganadería, crianza de animales, ganado vivo, animales de granja, producción animal",6
10101501,Gatos vivos,PRODUCT,Animales vivos de granja,"gato vivo, felino, minino, gato de granja, gato doméstico, felino vivo",6
10101502,Perros,PRODUCT,Animales vivos de granja,"perro vivo, canino, cachorro, perro de granja, perro doméstico, can vivo",6
10101504,Visón,PRODUCT,Animales vivos de granja,"visón vivo, visón de granja, visón en pie, animal de peletería, visón para reproducción",5
10101505,Ratas,PRODUCT,Animales vivos de granja,"rata viva, roedor, rata de granja, rata doméstica, rata en pie",5
10101506,Caballos,PRODUCT,Animales vivos de granja,"caballo vivo, equino, caballo de granja, caballo en pie, yegua, potro",6
10101507,Ovejas,PRODUCT,Animales vivos de granja,"oveja viva, borrego, carnero, ovino, oveja de granja, lana en pie",6
10101508,Cabras,PRODUCT,Animales vivos de granja,"cabra viva, chivo, caprino, cabra de granja, cabra en pie, chiva",6
10101509,Asnos,PRODUCT,Animales vivos de granja,"asno vivo, burro, mula, equino de carga, asno de granja, burro en pie",6
10101510,Ratones,PRODUCT,Animales vivos de granja,"ratón vivo, roedor, rata, ratería, cría de ratones, ratones de laboratorio, roedores pequeños",7
10101511,Cerdos,PRODUCT,Animales vivos de granja,"cerdo vivo, marrano, puerco, lechón, cochinada, cría de cerdos, ganado porcino",7
10101512,Conejos,PRODUCT,Animales vivos de granja,"conejo vivo, conejera, cría de conejos, conejo de granja, gazapo, conejitos, conejos para reproducción",7
10101513,Cobayas o conejillos de indias,PRODUCT,Animales vivos de granja,"cobaya viva, conejillo de indias, cuy, cría de cobayas, cobaya para laboratorio, roedor doméstico",6
10101514,Primates,PRODUCT,Animales vivos de granja,"primate vivo, mono, chimpancé, macaco, primate de laboratorio, simio, cría de primates",7
10101515,Armadillos,PRODUCT,Animales vivos de granja,"armadillo vivo, cría de armadillos, armadillos para granja, animal exótico, armadillo silvestre",5
10101516,Ganado vacuno,PRODUCT,Animales vivos de granja,"vaca viva, toro, becerro, res, ganado bovino, ternero, cría de vacas, ganado lechero",8
10101517,Camellos,PRODUCT,Animales vivos de granja,"camello vivo, dromedario, cría de camellos, camello de carga, animal exótico, camello para granja",6
10101601,Pollos vivos,PRODUCT,Pájaros y aves de corral vivos,"pollo vivo, pollito, gallina viva, gallo, ave de corral, cría de pollos, pollo para engorda",7
10101602,Patos vivos,PRODUCT,Pájaros y aves de corral vivos,"pato vivo, patita, cría de patos, pato de granja, ave acuática, pato para reproducción",6
10101603,Pavos vivos,PRODUCT,Pájaros y aves de corral vivos,"pavo vivo, guajolote, pavita, cría de pavos, pavo de granja, ave grande, guajolota",7
10101604,Gansos vivos,PRODUCT,Pájaros y aves de corral vivos,"ganso vivo, oca, cría de gansos, ganso de granja, ave acuática, gansito",6
